Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,post_impressions_unique:lifetime,post_impressions_organic_unique:lifetime,post_impressions_paid_unique:lifetime,post_impressions:lifetime,post_impressions_organic:lifetime,post_impressions_paid:lifetime,post_engaged_users:lifetime,post_consumptions_unique:lifetime,post_consumptions:lifetime,post_negative_feedback:lifetime,post_impressions_fan:lifetime,post_impressions_fan_unique:lifetime,post_impressions_fan_paid:lifetime,post_impressions_fan_paid_unique:lifetime,post_engaged_fan:lifetime,post_video_complete_views_organic_unique:lifetime,post_video_complete_views_organic:lifetime,post_video_complete_views_paid_unique:lifetime,post_video_complete_views_paid:lifetime,post_video_views_organic_unique:lifetime,post_video_views_organic:lifetime,post_video_views_paid_unique:lifetime,post_video_views_paid:lifetime,post_video_avg_time_watched:lifetime,post_video_length:lifetime
1517032341862724_1887171698182118,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1887171698182118:0,Suena tentador no crees......  #cómemebeibi,Photo,,,2/24/17 12:00 PM, ,1428,1360,0,2832,2739,0,42,20,24,0,2671,1307,0,0,31,0,0,0,0,0,0,0,0,0,0
1517032341862724_1887171398182148,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1887171398182148:0,La mejor manera de comer galleta oreo...¿Ustedes que dicen?  #cómemebeibi #McKleincookiesandcream,Photo,,,2/23/17 12:00 PM, ,1376,1314,0,2599,2510,0,54,27,38,0,2449,1260,0,0,42,0,0,0,0,0,0,0,0,0,0
1517032341862724_1887168988182389,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1887168988182389:0,"Por esta información, ¡Hasta una de cada sabor le compro!  #cómemebeibi #ayudenmeaencontrarlo",Photo,,,2/21/17 12:00 PM, ,1512,1483,0,3028,2999,0,31,22,29,0,2935,1426,0,0,25,0,0,0,0,0,0,0,0,0,0
1517032341862724_1886577704908184,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1886577704908184,En #McKlein hay un sabor para cada paladar.....¿Cuál es tu preferida?  #cómemebeibi #manzanasmcklein,Link,,,2/18/17 3:09 PM, ,1001,832,0,1480,1236,0,51,13,16,0,1207,809,0,0,35,0,0,0,0,0,0,0,0,0,0
1517032341862724_1885435131689108,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1885435131689108:0,MUCHAS FELICIDADES POLLO PAREDES!!! Haz ganado 6 manzanas gratis para disfrutar con tu media manzana :)  #mckleinesamor #cómemebeibi,Photo,,,2/16/17 4:17 PM, ,1299,1231,0,2318,2249,0,68,50,65,0,2210,1193,0,0,54,0,0,0,0,0,0,0,0,0,0
1517032341862724_1883134721919149,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1883134721919149:0,"Este lunes 13 de Febrero te esperamos de 2:00 a 6:00 pm con las puertas abiertas para que vengas por tus Mcklein!   Martes 14 de Febrero, horario normal de 2:00-9:00 pm  Y tú... ¿Vas a querer?  ???? #cómemebeibi",Photo,,,2/12/17 4:11 PM, ,1820,1796,0,3844,3819,0,33,30,36,0,3749,1739,0,0,26,0,0,0,0,0,0,0,0,0,0
1517032341862724_1882566268642661,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1882566268642661:0,Por las que siempre quitan ese pequeño pedazo del novio para no quedarse con las ganas????  #minoviolosabe #cómemebeibi,Photo,,,2/11/17 1:18 PM, ,1670,1604,0,3158,3070,0,49,32,37,0,3015,1556,0,0,36,0,0,0,0,0,0,0,0,0,0
1517032341862724_1881990292033592,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1881990292033592:0,"¡Muchas Gracias! Ya somos 8,000 fans de McKlein. Seguimos trabajando para ofrecerles lo mejor de nosotros... Esperen sorpresas muy pronto ;)   PD: ¡Que guapos salen todos!   #cómemebeibi #manzanasmcklein",Photo,,,2/10/17 9:17 AM, ,1320,1303,0,2599,2582,0,23,15,15,0,2522,1254,0,0,19,0,0,0,0,0,0,0,0,0,0
1517032341862724_1881525515413403,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1881525515413403,"Para este mes , un momento de amor explicado con manzanas....  #cómemebeibi #manzanasmcklein",Link,,,2/9/17 11:47 AM, ,634,434,0,1111,810,0,31,12,16,0,786,418,0,0,21,0,0,0,0,0,0,0,0,0,0
1517032341862724_1880156822216939,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1880156822216939:0,Hoy es martes de #McKleinclásica con....  #cómemebeibi #manzanasmcklein,Photo,,,2/7/17 12:30 PM, ,1478,1290,0,2955,2698,0,72,29,33,0,2662,1251,0,0,55,0,0,0,0,0,0,0,0,0,0
1517032341862724_1880280582204563,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1880280582204563,"Todos tenemos UNA MEDIA MANZANA, ¿Y tú ya encontraste la tuya???  Este mes de la amistad y los que se aman intensamente el venir a McKlein les trae recompensas, si ya estas ahí aprovecha, tómate una selfie con tu media manzana y GÁNATE UN COMBO GRATIS!! ????????????  Sigue las instrucciones para participar ;)  1-Ven a Mcklein y tómate una selfie con tu media manzana o quién te este acompañando. 2-Publica la foto en tu muro menciona en donde estas, compartiendo la ubicación de McKlein. 3. En la publicación pon el hashtag ""McKleinesamor"" y compártelo de forma pública (de esta manera nos daremos cuenta quien esta participando)  ¡LISTO! así de fácil estarás participando en el sorteo de un combo GRATIS.  Tienes hasta el 14 de Febrero para visitarnos y participar, el GANADOR se dará a conocer este 15 de Febrero, para que juntos puedan disfrutar de nuestras McKlein  ----------------------IMPORTANTE----------------- Para participar es necesario seguir las instrucciones *Recuerda hacer pública la foto  *Recuerda compartir la ubicación de McKlein *Recuerda usar el hashtag #McKleinesamor  *Por último y no menos importante recuerda hacer tu mejor pose ??  #mimediamanzana #cómemebeibi #compartiendoamor #sanvalentin",Photo,,,2/6/17 6:58 PM, ,530,466,0,675,597,0,44,30,41,0,593,461,0,0,38,0,0,0,0,0,0,0,0,0,0
1517032341862724_1879364182296203,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1879364182296203:0,En Mcklein ya estamos listos para el #superbowlLI ??????????  LA PREGUNTA ES... ¿QUIÉN ES EL MEJOR???,Photo,,,2/4/17 8:57 PM, ,2511,1134,1440,4066,2288,1530,105,37,42,0,2959,1637,720,676,36,0,0,0,0,0,0,0,0,0,0
1517032341862724_1879196068979681,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1879196068979681,"Solo o acompañado, como prefieres tú #McKlein ;)  #cómemebeibi #McKleinesamor",Link,,,2/4/17 2:12 PM, ,475,449,0,893,858,0,18,6,6,1,828,436,0,0,14,0,0,0,0,0,0,0,0,0,0
1517032341862724_1878626615703293,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1878626615703293,¡Por fin es viernes! así que les dejamos un divertido juego ....¿Tú si le atinas con esta #mckleinkranky? Compartenos un screenshot si fuiste capaz  de atinarle ;)  #yosileatino  #cómemebeibi #porfinesviernes,Link,,,2/3/17 10:49 AM, ,2113,1554,0,3296,2547,0,133,101,115,0,2551,1541,0,0,114,0,0,0,0,0,0,0,0,0,0
1517032341862724_1877802125785742,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1877803079118980:0,¿Y tú si te animas?  #manzanasmcklein #cómemebeibi,Photo,,,2/1/17 9:39 PM, ,21,0,0,23,0,0,44,19,29,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1517032341862724_1873748572857764,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1873748572857764:0,"Este 14 de Febrero, regala una deliciosa ¡Manzana McKlein Ferrero!   HORARIOS:  Lunes 13 de Febrero 2:00-6:00 pm Martes 14 de Febrero (horario normal ) 2:00-9:00 pm  *Al visitarnos, recuerda participar en el sorteo de 6 manzanas gratis*  #cómemebeibi #sanvalentin #yahueleaamor",Photo,,,2/1/17 12:00 PM, ,11277,1150,9807,14490,2292,11779,607,170,241,0,2279,1148,3,3,52,0,0,0,0,0,0,0,0,0,0
1517032341862724_1876218785944076,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1876218785944076:0,"Todos tenemos UNA MEDIA MANZANA, ¿Y tú ya encontraste la tuya???  Este mes de la amistad y los que se aman intensamente el venir a McKlein les trae recompensas, si ya estas ahí aprovecha, tómate una selfie con tu media manzana y GÁNATE UN COMBO GRATIS!! ????????????  Sigue las instrucciones para participar ;)  1-Ven a Mcklein y tómate una selfie con tu media manzana o quién te este acompañando.  2-Publica la foto en tu muro menciona en donde estas, compartiendo la ubicación de McKlein. 3. En la publicación pon el hashtag ""McKleinesamor"" y compártelo de forma pública (de esta manera nos daremos cuenta quien esta participando)  ¡LISTO! así de fácil estarás participando en el sorteo de un combo GRATIS.  Tienes hasta el 14 de Febrero para visitarnos y participar, el GANADOR se dará a conocer este 15 de Febrero, para que juntos puedan disfrutar de nuestras McKlein  ----------------------IMPORTANTE----------------- Para participar es necesario seguir las instrucciones  *Recuerda hacer pública la foto  *Recuerda compartir la ubicación de McKlein *Recuerda usar el hashtag #McKleinesamor  *Por último y no menos importante recuerda hacer tu mejor pose ??  #mimediamanzana #cómemebeibi #compartiendoamor #sanvalentin",Photo,,,1/31/17 4:00 PM, ,8568,1039,7356,19766,2023,16814,565,418,605,1,12510,3913,10462,3402,350,0,0,0,0,0,0,0,0,0,0
1517032341862724_1875841845981770,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1875841845981770:0,Este día yo si me anime a venir por mi McKlein ;)  #porqueno #yosimeanimo #cómemebeibi,Photo,,,1/29/17 12:00 PM, ,1301,1240,0,2512,2426,0,55,29,35,0,2367,1193,0,0,42,0,0,0,0,0,0,0,0,0,0
1517032341862724_1874865119412776,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1874865119412776,"¡Ya es fin de semana! Que mejor que venir por mi #McKlein ;) Corre que se acaban, cerramos a las 9:00 pm  #cómemebeibi #manzanasmcklein #yosimeanimo",Link,,,1/27/17 1:34 PM, ,831,749,0,1357,1249,0,46,11,12,0,1201,714,0,0,35,0,0,0,0,0,0,0,0,0,0
1517032341862724_1873749899524298,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1873749899524298:0,"¡Levante la mano a quien le gusta el chocolate!  Si es así, eres de los nuestros y tenemos muchos deliciosos sabores esperandote ;) #cómemebeibi",Photo,,,1/26/17 12:02 PM, ,1619,1597,0,3484,3454,0,31,16,21,0,3380,1539,0,0,21,0,0,0,0,0,0,0,0,0,0
1517032341862724_1873747652857856,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1873747652857856:0,Tu cara cuando te mueres por una McKlein y quieres que @alguien te regale una :)!  Si pensaste en alguien....Etiquetalo muy discretamente XD!,Photo,,,1/25/17 12:02 PM, ,1085,1003,0,2009,1910,0,50,22,29,0,1857,969,0,0,29,0,0,0,0,0,0,0,0,0,0
